"","BPS_V","SCL_V","freq","X","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
"161",1630,"Developed",251182,47,642676,14110,"51","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"162",1630,"Ag",268132,47,642676,14110,"51","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"163",1631,"NatVeg",322,48,311707,14120,"51","14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839216,0,0.615686
"164",1631,"Other",32812,48,311707,14120,"51","14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839216,0,0.615686
"165",1631,"Developed",72478,48,311707,14120,"51","14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839216,0,0.615686
"166",1631,"Ag",206095,48,311707,14120,"51","14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839216,0,0.615686
"167",1632,"NatVeg",12099,49,519881,14210,"51","14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"168",1632,"Other",166232,49,519881,14210,"51","14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"169",1632,"Developed",90712,49,519881,14210,"51","14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"170",1632,"Ag",250838,49,519881,14210,"51","14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"171",1633,"NatVeg",282045,50,405466,14440,"51","14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765
"172",1633,"Other",104421,50,405466,14440,"51","14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765
"173",1633,"Developed",5203,50,405466,14440,"51","14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765
"174",1633,"Ag",13797,50,405466,14440,"51","14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765
"175",1634,"NatVeg",58004,51,62209,14660,"51","14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709804,0,0
"176",1634,"Other",1421,51,62209,14660,"51","14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709804,0,0
"177",1634,"Developed",2543,51,62209,14660,"51","14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709804,0,0
"178",1634,"Ag",241,51,62209,14660,"51","14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709804,0,0
"179",1635,"NatVeg",2019835,52,4845318,14710,"51","14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",NA,429,67,58,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"180",1635,"Other",2367212,52,4845318,14710,"51","14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",NA,429,67,58,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"181",1635,"Developed",167625,52,4845318,14710,"51","14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",NA,429,67,58,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"182",1635,"Ag",290646,52,4845318,14710,"51","14710_51_62","Central Interior and Appalachian Floodplain Systems","Riparian",NA,429,67,58,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"183",1636,"NatVeg",544664,53,1159843,14750,"51","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784
"184",1636,"Other",567621,53,1159843,14750,"51","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784
"185",1636,"Developed",20477,53,1159843,14750,"51","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784
"186",1636,"Ag",27081,53,1159843,14750,"51","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784
"187",1637,"NatVeg",6003584,54,6260610,14770,"51","14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686,0,0.541176
"188",1637,"Other",154494,54,6260610,14770,"51","14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686,0,0.541176
"189",1637,"Developed",79153,54,6260610,14770,"51","14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686,0,0.541176
"190",1637,"Ag",23379,54,6260610,14770,"51","14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686,0,0.541176
"191",1638,"NatVeg",2052481,55,2567755,14790,"51","14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"192",1638,"Other",291628,55,2567755,14790,"51","14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"193",1638,"Developed",76945,55,2567755,14790,"51","14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"194",1638,"Ag",146701,55,2567755,14790,"51","14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"195",1639,"NatVeg",16331939,56,16982598,14810,"51","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909804,0.741176,1
"196",1639,"Other",195185,56,16982598,14810,"51","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909804,0.741176,1
"197",1639,"Developed",255766,56,16982598,14810,"51","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909804,0.741176,1
"198",1639,"Ag",199708,56,16982598,14810,"51","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909804,0.741176,1
"199",1640,"NatVeg",32954,57,203746,14920,"51","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"200",1640,"Other",121302,57,203746,14920,"51","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"201",1640,"Developed",44802,57,203746,14920,"51","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"202",1640,"Ag",4688,57,203746,14920,"51","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"203",1641,"NatVeg",4131,58,11955,14940,"51","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658824,0.419608
"204",1641,"Other",5249,58,11955,14940,"51","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658824,0.419608
"205",1641,"Developed",561,58,11955,14940,"51","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658824,0.419608
"206",1641,"Ag",2014,58,11955,14940,"51","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658824,0.419608
"207",1965,"NatVeg",16778,59,391453,13100,"52","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"208",1965,"Other",12158,59,391453,13100,"52","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"209",1965,"Developed",75817,59,391453,13100,"52","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"210",1965,"Ag",286700,59,391453,13100,"52","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"211",1966,"NatVeg",1995,60,19933,13110,"52","13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784
"212",1966,"Other",1183,60,19933,13110,"52","13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784
"213",1966,"Developed",4817,60,19933,13110,"52","13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784
"214",1966,"Ag",11938,60,19933,13110,"52","13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701961,0.811765,0.560784
"215",1967,"NatVeg",16790,61,774508,13130,"52","13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611765,0.172549
"216",1967,"Other",15737,61,774508,13130,"52","13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611765,0.172549
"217",1967,"Developed",105233,61,774508,13130,"52","13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611765,0.172549
"218",1967,"Ag",636748,61,774508,13130,"52","13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611765,0.172549
"219",1968,"NatVeg",1043,62,15099,13940,"52","13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176
"220",1968,"Other",715,62,15099,13940,"52","13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176
"221",1968,"Developed",3222,62,15099,13940,"52","13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176
"222",1968,"Ag",10119,62,15099,13940,"52","13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176
"223",1969,"NatVeg",44708,63,223402,13950,"52","13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196
"224",1969,"Other",18795,63,223402,13950,"52","13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196
"225",1969,"Developed",69058,63,223402,13950,"52","13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196
"226",1969,"Ag",90841,63,223402,13950,"52","13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196
"227",1970,"NatVeg",4667,64,17506,14110,"52","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"228",1970,"Other",1694,64,17506,14110,"52","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"229",1970,"Developed",3635,64,17506,14110,"52","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"230",1970,"Ag",7510,64,17506,14110,"52","14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921569,1,0
"231",1972,"NatVeg",3,65,241,14210,"52","14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
